Material,week_1,week_2,week_3,tavg,prcp,wspd,tavg-0,prcp-0,wspd-0,tavg-1,prcp-1,wspd-1,tavg-2,prcp-2,wspd-2,tavg-3,prcp-3,wspd-3,tavg-4,prcp-4,wspd-4,tavg-5,prcp-5,wspd-5,tavg-6,prcp-6,wspd-6,Weekday,Day,Month
132,368.0,332.0,324.0,24.0,0.3,5.2,24.0,0.3,5.2,22.3,0.0,5.8,22.6,0.0,7.2,23.7,0.0,5.0,25.0,3.6,5.4,26.2,0.0,4.4,26.7,0.0,7.8,5,22,8
132,412.0,368.0,332.0,27.1,0.0,13.7,27.1,0.0,13.7,26.5,0.0,8.3,26.8,0.0,5.6,25.9,0.0,3.1,23.6,0.0,6.2,25.1,0.0,6.9,25.1,0.0,7.1,5,29,8
132,420.0,412.0,368.0,25.2,0.0,7.3,25.2,0.0,7.3,27.4,0.0,7.7,27.5,0.0,6.7,26.9,0.0,7.5,26.8,0.0,4.7,25.5,0.0,3.3,26.5,34.0,7.8,5,5,9
132,380.0,420.0,412.0,26.1,0.0,8.1,26.1,0.0,8.1,26.4,0.0,4.1,25.7,0.0,8.3,23.5,0.0,5.4,23.3,0.0,7.9,21.9,0.0,4.1,22.3,0.0,5.1,5,12,9
132,248.0,380.0,420.0,20.3,0.0,11.7,20.3,0.0,11.7,22.3,0.0,4.5,20.8,0.0,16.7,19.3,0.0,18.2,22.7,0.0,17.9,25.5,0.0,7.7,26.1,0.0,9.4,5,19,9
132,288.0,248.0,380.0,21.9,0.0,2.1,21.9,0.0,2.1,22.1,0.0,8.4,18.7,0.0,7.9,18.9,0.0,2.8,15.5,0.0,4.2,16.6,0.0,16.4,17.3,0.0,16.4,5,26,9
132,208.0,288.0,248.0,13.8,0.0,3.5,13.8,0.0,3.5,14.8,0.0,7.8,17.8,0.0,8.5,15.5,0.0,6.2,15.4,0.0,8.2,23.7,0.0,8.7,22.3,0.0,6.1,5,3,10
132,136.0,208.0,288.0,21.1,0.0,9.9,21.1,0.0,9.9,19.5,0.0,8.1,19.3,0.0,0.5,19.6,0.0,3.7,17.8,0.0,3.1,16.7,0.0,2.0,14.7,0.0,2.0,5,10,10
132,284.0,136.0,208.0,12.4,0.0,8.1,12.4,0.0,8.1,15.6,0.0,11.3,20.1,0.0,3.6,18.2,0.0,4.7,20.6,0.0,7.0,22.6,0.0,6.4,22.1,0.0,9.7,5,17,10
132,232.0,284.0,136.0,19.4,0.0,2.6,19.4,0.0,2.6,21.5,0.0,4.5,21.0,0.0,7.4,20.5,0.0,7.2,17.8,0.0,4.2,17.0,0.0,3.6,14.8,0.0,7.7,5,24,10
132,420.0,232.0,284.0,12.3,0.0,10.4,12.3,0.0,10.4,12.2,0.0,16.0,22.6,0.0,21.1,22.4,0.0,8.4,19.9,0.0,6.3,19.6,0.0,6.5,20.4,0.0,1.9,5,31,10
132,516.0,420.0,232.0,18.5,0.0,9.5,18.5,0.0,9.5,15.9,0.0,6.3,12.3,0.0,3.4,11.0,0.0,3.4,8.9,0.0,4.6,8.1,0.0,11.6,14.9,0.0,11.9,5,7,11
132,188.0,516.0,420.0,13.0,0.0,3.0,13.0,0.0,3.0,16.2,0.0,7.0,19.0,0.0,10.1,22.5,0.0,3.7,20.5,0.0,12.6,21.2,0.0,16.6,20.2,0.0,14.2,5,14,11
132,452.0,188.0,516.0,12.3,0.0,1.9,12.3,0.0,1.9,10.6,0.0,1.1,7.6,0.0,4.7,8.6,0.0,2.8,9.8,0.0,12.2,10.1,0.0,8.6,13.9,0.0,7.5,5,21,11
132,276.0,452.0,188.0,13.7,0.0,4.9,13.7,0.0,4.9,12.5,0.0,2.3,17.5,0.0,4.2,15.1,0.0,10.8,9.1,0.0,8.7,11.0,0.0,12.8,13.1,0.0,2.2,5,28,11
132,340.0,276.0,452.0,6.7,0.0,9.0,6.7,0.0,9.0,9.8,0.0,10.4,5.5,0.0,4.4,3.1,0.0,6.1,1.6,0.0,15.4,6.5,0.0,20.6,11.7,0.0,6.8,5,5,12
132,344.0,340.0,276.0,13.6,0.0,6.8,13.6,0.0,6.8,10.0,0.0,2.9,8.8,0.0,1.2,5.6,0.0,3.2,3.0,0.0,10.9,5.5,0.0,16.1,6.8,0.0,2.2,5,12,12
132,352.0,344.0,340.0,4.4,0.0,4.6,4.4,0.0,4.6,3.1,0.0,5.5,2.6,0.0,12.1,5.8,0.0,7.6,5.9,0.0,11.6,10.3,0.0,17.6,14.7,0.6,3.3,5,19,12
132,452.0,352.0,344.0,-0.3,0.0,6.8,-0.3,0.0,6.8,-1.7,0.0,17.7,8.5,0.0,15.8,8.1,0.0,6.0,9.5,0.0,8.4,9.4,0.0,8.8,9.1,0.0,4.0,5,26,12
132,236.0,452.0,352.0,14.6,0.0,5.1,14.6,0.0,5.1,16.9,0.0,9.9,10.7,0.0,7.5,10.4,0.0,11.3,9.4,0.0,3.7,6.5,0.0,3.2,3.4,0.0,3.6,5,2,1
132,392.0,236.0,452.0,2.1,0.0,19.3,2.1,0.0,19.3,4.1,4.3,13.3,4.4,5.4,10.3,5.6,0.0,2.4,8.6,0.0,9.7,6.6,0.0,4.8,6.8,0.0,13.1,5,9,1
132,136.0,392.0,236.0,2.5,0.0,11.9,2.5,0.0,11.9,7.7,0.0,10.8,4.3,0.0,4.4,3.4,0.0,5.8,4.9,0.0,10.4,4.9,8.5,6.3,2.6,0.0,3.5,5,16,1
132,0.0,136.0,392.0,7.9,0.0,6.2,7.9,0.0,6.2,8.9,0.7,3.5,8.2,4.3,6.6,9.6,0.0,12.5,6.7,0.0,5.7,5.4,0.0,10.2,4.8,0.0,9.0,5,23,1
132,0.0,0.0,136.0,4.1,0.0,6.7,4.1,0.0,6.7,3.3,0.0,6.1,4.0,0.0,20.6,11.1,28.5,10.2,17.2,7.4,8.4,12.2,1.7,6.0,9.9,0.8,7.4,5,30,1
132,0.0,0.0,0.0,3.0,13.9,8.0,3.0,13.9,8.0,9.7,3.1,11.1,4.8,0.0,4.9,2.8,0.0,13.3,3.1,0.0,23.5,3.4,0.0,25.1,6.6,11.6,8.6,5,6,2
132,0.0,0.0,0.0,5.9,12.1,9.7,5.9,12.1,9.7,9.9,5.9,10.5,13.6,21.1,3.2,12.4,0.0,2.5,12.4,0.0,4.4,6.5,0.0,6.3,4.9,4.4,10.4,5,13,2
132,24.0,0.0,0.0,3.7,0.0,5.9,3.7,0.0,5.9,4.9,0.0,14.8,5.7,18.0,11.2,2.9,1.3,8.7,-1.1,0.0,17.2,7.2,18.9,10.0,7.4,0.0,9.7,5,20,2
132,0.0,24.0,0.0,12.9,0.7,6.1,12.9,0.7,6.1,10.3,7.9,8.9,14.4,0.0,6.3,12.0,0.0,5.9,10.5,0.0,8.1,12.0,3.2,12.0,7.0,0.0,9.5,5,27,2
132,0.0,0.0,24.0,9.4,0.0,8.1,9.4,0.0,8.1,10.7,0.0,7.8,13.0,0.0,8.1,10.0,3.9,9.7,7.3,1.9,10.6,15.1,6.9,12.6,18.5,0.0,8.7,5,6,3
132,0.0,0.0,0.0,18.1,0.0,3.7,18.1,0.0,3.7,16.2,0.0,3.3,15.2,0.0,4.2,13.1,0.0,5.3,10.4,0.0,3.8,9.3,0.0,2.9,8.4,0.0,6.4,5,13,3
132,0.0,0.0,0.0,10.4,0.0,18.0,10.4,0.0,18.0,10.6,0.2,13.9,17.1,6.8,18.9,12.1,9.2,8.5,10.8,42.0,13.4,18.8,1.0,14.0,0.0,0.0,0.0,5,20,3
132,32.0,0.0,0.0,21.9,0.0,8.0,21.9,0.0,8.0,20.5,16.7,6.5,19.4,14.9,9.5,18.8,0.0,8.2,16.9,0.8,10.3,15.0,0.0,9.4,12.7,0.0,16.1,5,27,3
132,0.0,32.0,0.0,8.1,0.0,2.3,8.1,0.0,2.3,6.4,0.0,10.7,7.2,0.0,21.6,16.6,45.8,9.2,16.0,0.0,9.7,13.4,0.0,7.2,19.3,5.4,16.4,5,3,4
132,0.0,0.0,32.0,18.2,5.2,10.3,18.2,5.2,10.3,20.0,0.0,9.4,20.0,0.0,8.7,18.9,0.0,5.3,17.3,0.0,3.5,15.6,0.0,1.2,12.2,0.0,3.0,5,10,4
132,0.0,0.0,0.0,16.3,0.0,3.7,16.3,0.0,3.7,14.5,0.0,4.8,17.2,0.5,12.2,18.2,1.0,7.5,20.0,0.0,4.2,18.9,0.0,9.8,18.3,0.0,8.7,5,17,4
132,0.0,0.0,0.0,16.7,45.1,10.9,16.7,45.1,10.9,12.6,0.0,4.9,9.0,0.0,5.7,11.8,0.0,16.5,15.7,0.0,4.0,15.6,0.0,12.8,16.2,0.0,7.9,5,24,4
132,0.0,0.0,0.0,19.4,0.0,6.8,19.4,0.0,6.8,20.0,2.6,12.1,21.0,0.0,9.6,21.9,0.0,5.8,20.1,0.0,6.3,17.4,0.0,8.7,16.3,0.0,16.6,5,1,5
132,0.0,0.0,0.0,15.6,0.0,4.4,15.6,0.0,4.4,15.0,0.0,15.9,16.4,0.0,12.7,19.8,0.3,13.2,19.5,54.1,8.3,21.4,10.7,7.8,20.3,0.4,8.2,5,8,5
132,0.0,0.0,0.0,17.2,0.0,3.4,17.2,0.0,3.4,16.4,0.0,3.6,14.3,0.0,5.2,14.3,14.6,10.3,19.4,0.0,4.6,19.9,18.8,8.3,19.6,0.0,8.7,5,15,5
132,0.0,0.0,0.0,22.2,0.0,2.3,22.2,0.0,2.3,22.7,0.0,9.2,22.9,0.0,13.6,23.2,0.0,14.2,21.7,0.3,12.4,19.9,0.0,7.4,18.7,0.0,5.4,5,22,5
132,4.0,0.0,0.0,20.1,0.0,13.3,20.1,0.0,13.3,23.9,4.4,10.1,24.0,0.0,6.7,25.3,0.0,8.1,25.7,0.0,3.3,24.6,0.0,4.0,23.8,0.0,4.3,5,29,5
132,0.0,4.0,0.0,24.7,1.5,3.8,24.7,1.5,3.8,24.3,0.0,3.5,23.8,0.3,6.4,22.6,0.0,6.6,21.7,0.0,6.3,19.5,0.0,6.3,17.8,0.0,9.4,5,5,6
132,0.0,0.0,4.0,26.0,0.0,10.9,26.0,0.0,10.9,24.3,5.7,7.9,23.8,10.7,7.7,23.4,1.2,5.2,24.7,0.0,8.3,24.2,6.1,7.4,25.3,1.2,4.2,5,12,6
132,0.0,0.0,0.0,22.5,18.5,9.9,22.5,18.5,9.9,25.2,0.0,5.6,23.9,0.0,4.4,23.9,0.0,6.1,26.4,0.0,9.5,26.8,0.0,5.5,26.3,0.0,3.8,5,19,6
132,0.0,0.0,0.0,23.8,1.0,7.5,23.8,1.0,7.5,23.9,0.0,6.5,24.8,0.0,11.5,22.7,0.0,4.5,22.7,4.0,10.1,25.5,2.9,11.6,24.5,15.4,11.5,5,26,6
132,0.0,0.0,0.0,23.4,0.0,5.8,23.4,0.0,5.8,25.0,4.3,7.7,25.5,0.0,8.0,25.9,0.0,4.3,26.1,3.2,10.4,26.5,0.0,5.4,26.2,6.7,7.0,5,3,7
132,0.0,0.0,0.0,24.7,29.9,7.0,24.7,29.9,7.0,24.7,8.8,8.1,24.5,4.3,3.6,24.6,2.1,7.1,25.3,1.3,6.4,25.4,0.0,4.0,23.3,0.0,3.6,5,10,7
132,0.0,0.0,0.0,25.7,0.0,7.4,25.7,0.0,7.4,26.3,0.3,5.2,26.7,0.0,3.6,25.3,0.8,3.3,24.1,0.7,5.5,23.9,16.1,7.3,24.6,3.0,9.0,5,17,7
132,0.0,0.0,0.0,27.2,0.0,4.3,27.2,0.0,4.3,26.3,0.0,4.8,26.6,0.0,5.1,25.4,0.1,5.0,23.4,16.5,6.2,23.5,21.0,4.7,24.2,7.0,4.2,5,24,7
132,0.0,0.0,0.0,28.3,0.0,7.1,28.3,0.0,7.1,27.9,0.3,9.0,28.7,0.0,4.0,28.1,0.0,5.7,26.9,0.0,3.6,27.6,0.0,5.0,27.3,21.3,5.8,5,31,7
132,0.0,0.0,0.0,24.5,0.5,3.6,24.5,0.5,3.6,24.6,0.0,4.9,24.5,0.0,6.5,24.2,0.0,5.3,24.0,5.6,6.5,25.4,0.3,5.6,27.0,3.0,11.1,5,7,8
132,0.0,0.0,0.0,27.0,0.0,5.8,27.0,0.0,5.8,27.0,2.0,4.7,26.7,0.0,3.5,25.0,2.1,3.0,27.1,5.2,3.7,25.8,0.3,2.8,25.3,0.0,2.4,5,14,8
132,24.0,0.0,0.0,26.0,5.9,5.4,26.0,5.9,5.4,25.8,1.2,6.3,25.7,1.9,3.7,25.9,0.0,3.0,23.4,48.4,15.4,24.8,5.6,8.1,25.8,0.2,8.1,5,21,8
132,8.0,24.0,0.0,26.7,0.0,6.6,26.7,0.0,6.6,26.2,1.5,5.1,25.6,0.0,4.8,26.7,16.0,4.6,27.3,0.0,2.4,27.2,0.0,3.2,25.5,1.7,7.2,5,28,8
132,0.0,56.0,8.0,21.9,0.0,4.3,21.9,0.0,4.3,20.7,0.0,3.6,23.8,2.3,12.1,24.1,1.0,6.7,24.4,1.7,4.0,24.7,0.2,5.4,22.3,0.0,2.9,5,11,9
132,248.0,0.0,56.0,24.4,2.9,4.1,24.4,2.9,4.1,23.4,0.1,6.4,22.0,15.3,9.6,22.5,9.8,3.2,24.9,0.0,2.4,23.7,0.0,3.2,22.1,0.0,1.5,5,18,9
132,212.0,248.0,0.0,17.4,0.0,4.2,17.4,0.0,4.2,16.3,0.0,2.6,16.0,0.0,10.8,21.4,3.3,11.1,23.9,3.5,6.7,22.8,22.4,9.3,23.7,27.9,5.2,5,25,9
132,348.0,212.0,248.0,22.2,0.0,3.7,22.2,0.0,3.7,22.6,0.0,3.9,21.3,0.0,2.2,21.9,0.0,4.5,20.6,0.0,3.1,19.6,0.0,2.7,18.5,0.0,3.3,5,2,10
132,308.0,348.0,212.0,21.3,0.0,3.4,21.3,0.0,3.4,22.9,0.0,4.9,22.5,2.7,5.7,22.3,6.7,10.5,20.4,29.9,7.5,21.5,4.7,4.9,21.5,15.7,4.7,5,9,10
132,192.0,308.0,348.0,18.2,0.0,11.8,18.2,0.0,11.8,21.6,0.0,2.8,21.6,0.0,1.5,20.9,0.0,1.3,20.5,0.0,3.9,20.4,0.0,4.9,21.2,0.0,2.4,5,16,10
132,204.0,192.0,308.0,15.2,0.0,4.8,15.2,0.0,4.8,18.8,0.3,8.9,18.1,2.6,5.6,16.0,0.0,2.5,13.8,0.0,1.3,12.9,0.0,1.6,13.1,0.0,9.5,5,23,10
132,192.0,204.0,192.0,12.1,2.3,9.4,12.1,2.3,9.4,12.0,3.8,9.0,13.9,11.1,10.6,14.1,0.0,5.3,14.3,0.0,15.9,18.6,0.2,6.4,15.8,0.0,3.4,5,30,10
132,208.0,192.0,204.0,9.9,0.0,9.3,9.9,0.0,9.3,9.0,0.0,11.6,8.3,4.8,12.3,10.0,0.3,7.2,12.8,0.0,6.8,13.4,0.0,2.4,13.0,0.0,11.1,5,6,11
132,224.0,208.0,192.0,8.6,0.0,8.0,8.6,0.0,8.0,13.1,0.0,4.1,15.3,23.0,6.3,13.6,0.0,1.8,12.2,0.0,1.6,11.5,0.0,0.5,9.5,0.0,3.6,5,13,11
132,236.0,224.0,208.0,8.4,0.0,11.4,8.4,0.0,11.4,8.1,0.0,8.5,13.3,0.0,8.1,13.1,0.0,3.7,11.7,0.0,3.1,9.3,0.0,7.7,7.8,0.0,7.3,5,20,11
132,84.0,236.0,224.0,7.2,0.0,4.3,7.2,0.0,4.3,7.8,0.8,14.6,8.9,1.3,5.1,5.4,0.0,3.3,4.8,0.0,8.3,12.1,11.0,13.4,12.2,0.0,5.7,5,27,11
132,244.0,84.0,236.0,12.9,0.0,1.3,12.9,0.0,1.3,13.3,0.0,1.8,12.6,0.0,4.9,10.4,0.0,3.9,7.6,0.0,3.6,6.5,0.0,11.1,8.0,0.0,5.6,5,4,12
132,272.0,244.0,84.0,15.8,14.3,9.8,15.8,14.3,9.8,10.7,6.0,5.0,6.8,0.0,5.9,8.0,3.3,7.0,6.7,0.0,6.1,14.1,10.6,7.8,14.4,0.3,3.4,5,11,12
132,244.0,272.0,244.0,17.7,26.0,6.0,17.7,26.0,6.0,16.4,0.0,4.3,13.8,0.0,2.9,8.5,0.0,5.6,7.3,0.0,0.2,6.3,0.0,0.5,7.2,0.0,6.6,5,18,12
132,108.0,244.0,272.0,15.9,0.0,11.6,15.9,0.0,11.6,8.4,0.0,5.5,6.1,0.0,2.5,7.1,0.0,10.6,5.2,6.5,8.5,5.5,0.0,11.1,10.4,3.3,11.1,5,25,12
132,60.0,108.0,244.0,22.2,1.1,15.1,22.2,1.1,15.1,16.4,0.1,2.4,18.0,57.8,6.4,20.2,10.6,10.9,19.1,0.9,9.3,17.2,0.0,6.8,17.4,0.0,3.4,5,1,1
132,136.0,60.0,108.0,4.0,0.0,9.0,4.0,0.0,9.0,0.5,0.0,10.2,6.9,2.6,10.3,8.5,0.0,4.5,3.9,0.0,8.5,2.9,2.6,21.2,17.6,5.5,9.5,5,8,1
132,176.0,136.0,60.0,5.6,2.7,10.5,5.6,2.7,10.5,7.0,0.0,7.8,6.9,0.0,9.1,3.6,0.0,1.3,3.9,0.0,6.6,5.8,0.0,14.8,10.2,14.1,8.3,5,15,1
132,112.0,176.0,136.0,1.7,0.0,3.6,1.7,0.0,3.6,0.0,0.0,9.0,6.5,12.8,13.1,7.9,0.0,6.1,4.2,0.0,3.7,1.9,0.0,20.4,2.3,15.5,22.2,5,22,1
132,196.0,112.0,176.0,-0.9,0.0,17.5,-0.9,0.0,17.5,3.6,0.0,9.5,4.0,0.0,4.4,3.8,0.0,10.9,10.2,0.0,6.3,6.0,0.0,5.7,2.4,0.0,6.7,5,29,1
132,180.0,196.0,112.0,1.5,0.0,13.5,1.5,0.0,13.5,9.2,23.5,14.8,13.6,34.4,8.7,9.6,3.6,12.4,6.8,0.0,8.6,5.3,0.0,4.2,3.4,0.0,8.2,5,5,2
132,300.0,180.0,196.0,11.2,0.0,6.5,11.2,0.0,6.5,9.9,0.0,5.9,9.1,0.0,5.8,6.9,0.0,5.0,6.5,0.0,8.3,7.2,0.0,7.1,4.0,0.0,10.4,5,12,2
132,108.0,300.0,180.0,5.3,0.0,11.4,5.3,0.0,11.4,7.2,15.9,16.6,17.7,8.1,16.6,13.8,0.0,9.8,8.1,0.0,6.2,5.3,0.0,6.8,5.3,0.0,16.9,5,19,2
132,236.0,108.0,300.0,8.6,0.0,8.9,8.6,0.0,8.9,14.7,1.8,12.2,18.7,0.0,7.1,18.9,9.8,7.3,16.1,4.9,8.5,10.3,13.1,6.2,7.3,0.0,5.0,5,26,2
132,212.0,236.0,108.0,17.9,0.0,10.4,17.9,0.0,10.4,16.2,0.0,7.9,15.5,0.0,4.7,13.5,0.0,5.2,10.7,0.0,3.8,10.7,0.0,3.9,9.3,11.6,6.0,5,5,3
132,168.0,212.0,236.0,2.4,16.6,24.8,2.4,16.6,24.8,11.9,0.0,9.5,11.6,0.0,5.5,11.6,10.1,8.5,9.6,14.6,5.8,17.9,4.1,9.5,19.9,0.0,9.4,5,12,3
132,340.0,168.0,212.0,15.0,0.3,14.9,15.0,0.3,14.9,12.2,22.3,7.2,14.4,0.0,2.7,13.5,29.2,12.2,12.2,4.6,8.1,8.6,0.0,5.8,0.0,0.0,0.0,5,19,3
132,48.0,340.0,168.0,12.5,0.0,21.1,12.5,0.0,21.1,11.1,0.0,11.1,13.6,0.0,11.2,20.6,14.7,19.4,17.9,0.0,13.1,12.9,0.0,5.9,12.3,0.0,10.1,5,26,3
132,264.0,48.0,340.0,12.4,0.0,4.4,12.4,0.0,4.4,13.1,0.0,9.2,19.3,7.0,17.6,19.9,0.0,14.6,15.6,0.0,6.0,11.9,0.0,8.4,11.8,0.0,15.6,5,2,4
132,92.0,264.0,48.0,8.3,0.4,14.6,8.3,0.4,14.6,10.6,0.0,16.4,16.5,13.9,17.6,18.5,9.4,5.9,13.2,26.3,8.9,13.8,0.0,3.6,13.6,0.0,9.2,5,9,4
132,208.0,92.0,264.0,18.5,24.0,8.6,18.5,24.0,8.6,16.5,0.0,7.9,19.7,1.0,12.2,21.2,0.0,12.2,19.4,0.0,7.6,14.4,0.0,4.7,12.0,0.0,5.2,5,16,4
132,104.0,208.0,92.0,20.1,0.0,7.1,20.1,0.0,7.1,19.2,0.0,4.6,18.6,0.0,9.5,13.4,0.0,9.0,10.8,0.0,13.2,17.1,15.1,13.9,18.5,5.0,3.3,5,23,4
132,112.0,104.0,208.0,20.9,0.0,8.4,20.9,0.0,8.4,18.3,0.0,5.8,17.4,0.0,6.0,16.3,0.0,7.2,17.2,2.8,7.1,21.1,0.0,5.6,21.2,0.0,7.6,5,30,4
132,96.0,112.0,104.0,17.3,0.0,16.5,17.3,0.0,16.5,23.0,5.4,15.3,23.9,0.0,5.1,22.9,8.4,6.5,23.4,0.0,7.9,23.4,0.0,5.8,21.6,0.0,8.0,5,7,5
132,92.0,96.0,112.0,22.1,0.0,5.9,22.1,0.0,5.9,21.7,5.8,12.2,22.9,0.0,9.8,20.7,0.0,4.8,18.8,0.0,5.0,17.4,0.0,10.1,15.8,0.0,5.0,5,14,5
132,320.0,92.0,96.0,25.9,0.0,9.5,25.9,0.0,9.5,25.7,0.0,10.6,26.0,0.0,7.1,22.7,0.0,5.3,21.8,0.0,6.7,23.4,0.0,9.8,22.4,9.1,3.3,5,21,5
132,792.0,320.0,92.0,20.8,0.0,4.3,20.8,0.0,4.3,22.2,0.8,11.2,22.0,14.5,12.1,21.8,5.6,12.1,23.3,0.0,4.3,21.5,44.8,12.0,25.4,0.0,10.2,5,28,5
132,224.0,792.0,320.0,24.7,0.0,11.8,24.7,0.0,11.8,24.3,0.0,8.0,26.0,0.0,6.7,25.9,0.0,2.9,24.5,0.0,6.0,24.0,0.3,4.1,23.6,0.0,5.6,5,4,6
132,260.0,224.0,792.0,25.0,0.0,2.0,25.0,0.0,2.0,22.9,0.0,5.4,23.8,4.4,8.4,23.9,13.8,8.7,23.9,4.9,7.4,23.0,0.0,6.7,24.0,0.0,7.5,5,11,6
132,232.0,260.0,224.0,26.9,0.0,11.3,26.9,0.0,11.3,27.7,1.0,6.7,29.2,22.1,5.8,29.7,0.5,8.2,29.6,0.0,6.3,28.4,0.0,5.3,27.0,0.0,5.0,5,18,6
132,148.0,232.0,260.0,27.1,53.3,7.4,27.1,53.3,7.4,28.7,0.0,10.0,29.4,0.5,8.4,28.5,0.0,7.7,27.0,0.0,6.1,24.6,0.0,2.9,23.8,0.0,7.3,5,25,6
132,160.0,148.0,232.0,26.4,0.2,3.4,26.4,0.2,3.4,24.6,0.3,4.1,25.6,9.4,4.0,24.9,10.1,4.5,24.5,1.5,5.4,25.9,0.3,6.4,27.2,0.0,5.6,5,2,7
132,152.0,160.0,148.0,25.5,6.9,6.9,25.5,6.9,6.9,28.7,8.3,8.1,29.0,0.2,9.7,29.7,0.0,8.0,27.5,4.8,2.9,27.3,0.8,6.0,27.6,3.0,5.8,5,9,7
132,280.0,152.0,160.0,27.0,0.0,4.3,27.0,0.0,4.3,27.1,0.0,3.6,26.8,0.0,5.8,26.6,3.5,6.6,25.9,0.0,6.1,24.7,0.5,10.7,25.9,6.1,7.3,5,16,7
132,172.0,280.0,152.0,25.8,0.0,3.9,25.8,0.0,3.9,25.9,0.0,5.9,24.4,8.2,7.2,27.7,0.0,9.4,23.9,15.3,5.6,26.6,0.0,7.5,27.2,0.0,5.8,5,23,7
132,148.0,172.0,280.0,26.0,10.3,3.6,26.0,10.3,3.6,27.0,21.3,7.9,28.4,0.0,9.6,28.7,0.0,7.6,28.1,0.0,8.0,27.8,0.0,8.4,28.2,0.0,4.8,5,30,7
132,152.0,148.0,172.0,26.3,2.8,7.3,26.3,2.8,7.3,26.3,0.3,6.7,25.8,0.0,4.0,26.2,0.3,6.2,27.1,0.0,8.1,25.0,0.0,6.0,26.3,0.5,7.1,5,6,8
132,128.0,152.0,148.0,24.8,0.0,8.4,24.8,0.0,8.4,25.6,0.3,8.1,24.8,1.0,5.0,25.1,6.2,6.4,25.5,0.3,4.7,25.5,0.0,3.8,26.0,16.6,4.5,5,13,8
132,100.0,128.0,152.0,25.4,0.0,4.3,25.4,0.0,4.3,23.4,9.3,5.6,24.3,0.0,6.7,23.9,1.5,7.0,24.9,0.0,4.8,26.7,7.6,7.9,25.2,0.0,5.0,5,20,8
132,124.0,100.0,128.0,26.9,0.0,4.8,26.9,0.0,4.8,25.5,0.0,4.3,23.5,7.6,4.8,24.8,0.0,4.6,25.3,0.0,5.1,24.4,2.3,6.0,24.4,3.0,6.3,5,27,8
132,264.0,124.0,100.0,26.5,0.0,8.1,26.5,0.0,8.1,25.2,0.6,7.8,25.3,0.0,4.2,25.8,0.9,6.2,25.0,4.2,3.3,26.6,0.0,6.0,26.6,0.0,7.5,5,3,9
132,388.0,264.0,124.0,21.6,3.7,11.5,21.6,3.7,11.5,23.5,0.1,14.3,24.5,0.0,8.1,25.6,0.0,7.3,25.6,0.0,5.8,24.4,13.5,7.8,24.5,7.9,8.6,5,10,9
132,244.0,388.0,264.0,21.8,0.0,4.7,21.8,0.0,4.7,21.3,0.0,6.3,21.9,0.0,6.9,21.6,0.0,2.1,20.1,0.0,7.1,23.6,6.6,7.5,24.2,1.6,7.1,5,17,9
132,56.0,244.0,388.0,19.5,0.0,4.3,19.5,0.0,4.3,19.6,0.0,5.4,25.6,0.0,10.0,26.0,0.0,3.0,24.6,1.4,3.9,23.2,0.0,2.2,21.5,0.0,3.8,5,24,9
132,500.0,56.0,244.0,18.2,0.0,13.8,18.2,0.0,13.8,19.7,0.0,15.5,16.8,0.0,17.9,16.3,0.0,7.8,17.4,0.0,10.4,21.2,0.0,8.1,19.7,0.0,3.5,5,1,10
132,56.0,500.0,56.0,17.2,0.0,9.4,17.2,0.0,9.4,18.1,0.0,4.4,16.4,0.0,4.4,16.4,0.0,5.4,17.1,0.0,4.7,17.7,0.0,5.4,17.7,0.0,11.3,5,8,10
132,132.0,56.0,500.0,15.7,0.0,4.3,15.7,0.0,4.3,14.2,0.0,4.4,18.5,4.6,9.4,19.6,12.7,8.6,16.8,0.0,5.9,15.2,0.0,3.6,14.1,0.0,3.0,5,15,10
132,336.0,132.0,56.0,12.5,0.0,1.9,12.5,0.0,1.9,10.4,0.0,1.9,8.6,0.0,5.0,7.5,0.0,7.1,7.9,0.0,17.1,18.1,0.0,12.6,18.0,0.0,3.3,5,22,10
133,0.0,0.0,0.0,15.7,0.0,4.3,15.7,0.0,4.3,14.2,0.0,4.4,18.5,4.6,9.4,19.6,12.7,8.6,16.8,0.0,5.9,15.2,0.0,3.6,14.1,0.0,3.0,5,15,10
133,0.0,0.0,0.0,12.5,0.0,1.9,12.5,0.0,1.9,10.4,0.0,1.9,8.6,0.0,5.0,7.5,0.0,7.1,7.9,0.0,17.1,18.1,0.0,12.6,18.0,0.0,3.3,5,22,10
134,0.0,0.0,0.0,26.9,0.0,4.8,26.9,0.0,4.8,25.5,0.0,4.3,23.5,7.6,4.8,24.8,0.0,4.6,25.3,0.0,5.1,24.4,2.3,6.0,24.4,3.0,6.3,5,27,8
134,0.0,0.0,0.0,26.5,0.0,8.1,26.5,0.0,8.1,25.2,0.6,7.8,25.3,0.0,4.2,25.8,0.9,6.2,25.0,4.2,3.3,26.6,0.0,6.0,26.6,0.0,7.5,5,3,9
134,0.0,0.0,0.0,21.6,3.7,11.5,21.6,3.7,11.5,23.5,0.1,14.3,24.5,0.0,8.1,25.6,0.0,7.3,25.6,0.0,5.8,24.4,13.5,7.8,24.5,7.9,8.6,5,10,9
134,0.0,0.0,0.0,21.8,0.0,4.7,21.8,0.0,4.7,21.3,0.0,6.3,21.9,0.0,6.9,21.6,0.0,2.1,20.1,0.0,7.1,23.6,6.6,7.5,24.2,1.6,7.1,5,17,9
